questions,Question_Explanation,Op1,Op2,Op3,Op4,answersIndex
Rozpoczynając naukę tworzenia zdań w języku obcym należy,Z nauką języków obcych jest jak z parzeniem herbaty Aby napisać/mówić coś zgodnie z gramatyką należy poznać poradnik językowy Gramatykę można porównać do przepisu kulinarnego wyjaśniającego wszystkie kroki niezbędne do przygotowania dania Ale przede wszystkim musimy znać składniki Składniki w gramatyce językowej to na przykład podmiot i czasownik Dzielenie zdań na części składowe usprawni Twoją naukę - spróbuj,podzielić zdanie na części podrzędne typu podmiot czasownik itp,umieścić we właściwej kolejności części składowe takie jak podmiot czasownik itp,nazwać części składowe jak podmiot czasownik itp,wymieszać części składowe takie jak podmiot czasownik itp w dowolnej kolejności i sprawdzić zrozumienie,2
Najszybszą poprawną metodą zsumowania w pamięci wszystkich liczb całkowitych od 1 do 10 jest,Gdybyś miał dodać dziesięć dziesiątek byłoby łatwo Suma wyniosłaby 100 To wygląda ciekawie spróbuj więc zacząć dodawanie od ostatniej liczby czyli od 10 Dodaj do niej sumę pierwszej i przedostatniej czyli 1 + 9 i tak dalej Dodawane będzie więc wyglądało tak 10 +1 + 9 +2 + 8 +3 + 7 +4 + 6 Masz pięć wierszy i w każdym suma wynosi 10 Zdekomponowałeś w ten sposób złożoną operację arytmetyczna na szereg prostych elementów składowych Pięć dziesiątek to 50 a 50 to połowa 100 Czyli 100 / 2 Zostało ci do dodania jeszcze 5 Wszystko razem to 100 / 2 + 5 czyli 55 Widzisz teraz wzorzec która uprości obliczenia? Sprawdź teraz czy 55 to dobry wynik dodając po kolei wszystkie liczby od 1 do 10,dodajemy 1 2 3 4 itd do 10,pomnożyć 10 przez 5 i dodać 1,podzielić 100 przez 2 i dodać 5,obliczyć ((1 + 10 ) x 10) / 2,2
Aby zsumować wszystkie liczby całkowite od 1 do 20 w ciągu 10 sekund tylko w pamięci należy,Jeżeli zsumujesz pierwszą i ostatnia liczbę którą masz dodać czyli 1 + 20 to uzyskasz 21 Masz 10 takich par To są elementy składowe które odkryłeś dekomponując złożone obliczenie Czyli 10 x 21 = 210 To wzorzec dla takich obliczeń Sprawdź teraz czy 210 to dobry wynik dodając po kolei wszystkie liczby od 1 do 20 na kartce w kalkulatorze lub w komputerze Możesz też spróbować w pamięci ),pomnożyć 10 przez 21,dodaj 1 2 3 4 i tak dalej ale bardzo szybko,dodać 20 19 18 17 i tak dalej ale bardzo szybko,dodać 20 1 19 2 18 3 i tak dalej ale naprawdę szybko,2
Aby zsumować wszystkie liczby całkowite od 1 do X w ciągu 10 sekund wyłącznie w pamięci powinieneś obliczyć,Na początek przykład Dodawanie liczb od 1 do 10 czyli do X = 10 jest na początku łatwe 1 + 2 to po prostu 3 a 3 + 3 to 6 itd Wyobraź sobie jednak dodawanie od 1 do 140 Dodając kolejne coraz większe liczby w pamięci łatwo się pomylić Spróbuj znaleźć ogólne rozwiązanie zmieniając w tym celu tok myślenia Dodaj na przykład nie pierwszą i drugą liczbę ale pierwszą i ostatnią 1 + 10 = 11 Kolejna para daje taki sam wynik 2 + 9 = 11 Zdekomponowałeś dane na proste powtarzalne elementy W kolejnych parach suma także wyniesie 11 Rozpoznałeś więc wzorzec łatwego sumowania A ile będzie takich par które dają identyczne sumy? Kolejne pary to 1+10 2+9 3+8 4+7 i 5+6 Liczba par to 5 czyli połowa liczb które masz zsumować Możesz to zapisać tak że przy 10 liczbach jest 10 / 2 = 5 - pięć par Możesz teraz uogólnić ideę rozwiązania używając symboli arytmetycznych i ułożyć algorytm opisujący kroki rozwiązania dla dowolnych danych Przy X liczb masz X / 2 par a wartości do zsumowania wynoszą 1 + X Algorytm wygląda więc tak X/2+(1+X) Sprawdź teraz czy ten algorytm da poprawne wyniki także dla liczb od 1 do 11 do 20 czy dla dowolnej innej liczby Spróbuj też uogólnić ten algorytm na dowolną parę liczb z przedziału <X Y> gdzie X<Y,X/2 * (X+1),X*2 / (X+1),(X+1) / X*2,2X * X,3
Aby oprzeć się niechcianym naciskom na robienie złych rzeczy powinieneś wykonać te kroki w podanej kolejności,Komputacyjne myślenie polega na dzieleniu złożonych problemów na mniejsze bardziej zarządzalne części i stosowaniu logicznego podejścia do ich rozwiązywania To samo podejście można zastosować w celu oporu przeciwko niechcianym naciskom do popełnienia czegoś złego Kroki polegające na nazwaniu elementów sytuacji rozpoznaniu ryzykownego kontekstu zastosowaniu praw asertywności i opuszczeniu miejsca/sytuacji opierają się na systematycznym podejściu do rozwiązywania problemów a każdy kolejny krok opiera się na poprzednim Oto jak te kroki mają zastosowanie w oporze przeciwko niechcianym naciskom Nazwanie elementów sytuacji Pierwszym krokiem w oporze przeciwko niechcianym naciskom jest zidentyfikowanie i zrozumienie różnych elementów sytuacji W tym należy zrozumieć motywy osoby lub osób wywierających naciski potencjalne konsekwencje ustępstw dla ich żądań oraz etyczne implikacje Twoich działań Rozpoznanie ryzykownego kontekstu Po zidentyfikowaniu różnych elementów sytuacji następnym krokiem jest rozpoznanie kiedy kontekst staje się ryzykowny W tym należy zrozumieć kiedy wywierane naciski są nieodpowiednie lub nieetyczne a kiedy mogą prowadzić do szkody dla zdrowia lub innych negatywnych konsekwencji dla Ciebie lub innych osób Zastosowanie praw asertywności Po rozpoznaniu że kontekst stał się ryzykowny kolejnym krokiem jest odwołanie się do swoich praw i obrona swojego stanowiska Wymaga to jasnego przekazywania swoich granic i oczekiwań osobie lub osobom wywierającym naciski oraz odmowy ustępstw dla ich żądań Opuszczenie miejsca/sytuacji Jeśli naciski nadal trwają i nie możesz rozwiązać sytuacji ostatnim krokiem jest opuszczenie miejsca lub sytuacji Może to obejmować fizyczne usunięcie się z sytuacji szukanie pomocy od innych lub podjęcie innych kroków aby zapewnić swoje bezpieczeństwo i dobre samopoczucie Postępując według tych kroków możesz podejść do problemu niechcianych nacisków w logiczny i systematyczny sposób co zwiększa Twoje szanse na skuteczne przeciwstawienie się presji,nazwij elementy sytuacji rozpoznaj ryzykowny kontekst zastosuj prawa asertywności opuść miejsce/sytuację,opuść miejsce/sytuację nazwij elementy sytuacji rozpoznaj ryzykowny kontekst zastosuj prawa asertywności,zastosować prawa asertywności opuścić miejsce/sytuację nazwać elementy sytuacji rozpoznać ryzykowny kontekst,rozpoznać ryzykowny kontekst opuścić miejsce/sytuację zastosować prawa asertywności nazwać elementy sytuacji,1
Aby nauczyć robota jak sprzątać pokój powinieneś przejść następujące kroki w podanej kolejności,Myślenie obliczeniowe polega na rozbijaniu złożonych zadań na mniejsze bardziej przystępne części oraz na logicznym podejściu do ich rozwiązywania To samo podejście można zastosować w przypadku nauczania robota jak sprzątać pokój Kroki polegające na wymienieniu wszystkich elementów pokoju rozpoznaniu obszarów łączących elementy zdefiniowaniu zasad które mają być zastosowane oraz przygotowaniu instrukcji krok po kroku opisane są na podstawie systematycznego podejścia do rozwiązywania problemów gdzie każdy krok buduje na poprzednim Oto jak te kroki mogą być zastosowane w nauczaniu robota jak sprzątać pokój Wymień wszystkie elementy pokoju Pierwszym krokiem w nauczaniu robota jak sprzątać pokój jest wymienienie wszystkich elementów pokoju z którymi robot musi się zetknąć Obejmuje to meble ściany podłogi i wszelkie inne przedmioty lub funkcje które mogą być obecne Rozpoznaj obszary łączące elementy Po zidentyfikowaniu wszystkich elementów pokoju następnym krokiem jest rozpoznanie obszarów które łączą te elementy Na przykład obszar między ścianami a podłogą lub obszar pod meblami Rozpoznając te obszary można opracować bardziej efektywną strategię sprzątania dla robota Zdefiniuj zasady które mają być zastosowane Po rozpoznaniu obszarów łączących elementy kolejnym krokiem jest zdefiniowanie zasad których robot powinien przestrzegać podczas sprzątania pokoju Na przykład robot może musieć unikać zderzania się z meblami lub ścianami lub może musieć dokładniej czyścić niektóre obszary niż inne Przygotuj instrukcje krok po kroku Po zdefiniowaniu zasad ostatnim krokiem jest przygotowanie instrukcji krok po kroku które robot będzie mógł stosować aby sprzątać pokój w sposób wydajny Instrukcje te powinny uwzględniać elementy pokoju obszary je łączące oraz zasady które zostały zdefiniowane Śledząc te kroki w określonej kolejności można podejść do zadania nauczania robota jak sprzątać pokój w sposób logiczny i systematyczny zwiększając szanse na wydajne i skuteczne wykonanie zadania przez robota,wymienić wszystkie elementy pomieszczenia rozpoznać obszary łączące elementy określić zasady które należy zastosować przygotować instrukcję krok po kroku,określić zasady do zastosowania przygotować instrukcje krok po kroku wymienić wszystkie elementy pomieszczenia rozpoznać obszary łączące elementy,wymienić wszystkie elementy pomieszczenia określić zasady które należy zastosować przygotować instrukcję krok po kroku rozpoznać obszary łączące elementy,wymienić wszystkie elementy pomieszczenia przygotować instrukcję krok po kroku określić zasady które należy zastosować rozpoznać obszary łączące elementy,1
Lista rzeczy do zrobienia podczas sprzątania pokoju powinna zawierać następujące informacje,Myślenie komputacyjne polega na dzieleniu złożonych zadań na mniejsze łatwiejsze do zarządzania części oraz opracowywaniu logicznego podejścia do rozwiązywania problemów Ten sam podejście można zastosować w celu stworzenia listy zadań do sprzątania pokoj Zawarcie na liście wszystkich elementów do sprzątania kategorie elementów w pokoju łączących się ze sobą oraz ogólne zalecenia dotyczące porządku i dokładności sprzątania grup/typów elementów pomaga w ustanowieniu klarownego i zorganizowanego planu sprzątania pokoju Dzięki podziałowi procesu sprzątania na mniejsze części łatwiej jest zarządzać i skutecznie wykonać zadanie Dodatkowo udzielanie szczegółowych instrukcji dotyczących sprzątania grup i elementów takich jak meble elektronika i inne elementy w odpowiedniej kolejności zapewnia dokładne i konsekwentne przeprowadzenie procesu sprzątania To podejście również pomaga zminimalizować ryzyko przeoczenia jakichkolwiek elementów lub obszarów podczas procesu sprzątania,listę wszystkich przedmiotów do sprzątania zasadę łączącą kategorie przedmiotów w pokoju w grupy/rodzaje ogólne zalecenia dotyczące kolejności i dokładności sprzątania grup/rodzajów przedmiotów,konkretne instrukcje dotyczące sprzątania grup i przedmiotów takich jak meble (krzesło biurko szafa itp) sprzęt elektroniczny (telewizor komputer soundbar itp) w odpowiedniej kolejności,oba powyższe,żadne z powyższych,1
Pełne naładowanie telefonu komórkowego trwa 2 godziny Jaki jest najkrótszy czas pełnego naładowania 3 telefonów komórkowych przy pomocy 2 ładowarek?,"Pożądanym rezultatem jest pełne naładowanie trzech telefonów komórkowych przy użyciu dwóch ładowarek w jak najkrótszym czasie
 
 Należy zauważyć że jeśli spróbujemy naładować wszystkie 3 telefony komórkowe jednocześnie przy użyciu 2 ładowarek czas ładowania będzie dłuższy niż 2 godziny dla każdego telefonu Dzieje się tak dlatego że moc dostarczana przez ładowarki zostanie podzielona pomiędzy 3 telefony więc każdy telefon otrzyma mniej niż pełną moc ładowania której potrzebuje
 
 
 Zamiast tego możemy naładować 2 telefony komórkowe za pomocą obu ładowarek jednocześnie a następnie naładować trzeci telefon osobno gdy jeden z pierwszych 2 telefonów jest w pełni naładowany W ten sposób możemy mieć dwa telefony ładujące się z pełną mocą ładowania przez 2 godziny co w pełni je naładuje Następnie możemy użyć jednej z ładowarek do ładowania trzeciego telefonu przez 2 godziny aż zostanie on w pełni naładowany
 
 Całkowity czas ładowania wszystkich 3 telefonów wyniesie wówczas 2 godziny dla dwóch pierwszych telefonów + 2 godziny dla trzeciego telefonu = 4 godziny
 
 Powyższa metoda również nie jest najszybsza Przedstawione rozwiązanie i wyjaśnienie możemy porównać z innymi możliwymi odpowiedziami znalezionymi w wyniku myślenia obliczeniowego Pierwszym krokiem myślenia obliczeniowego jest dekompozycja problemu jeden z etapów myślenia obliczeniowego Dekompozycja problemu polega na rozbiciu złożonego problemu na mniejsze łatwiej rozwiązywalne i możliwe do wtórnego przeorganizowania podproblemy które można rozwiązać indywidualnie a następnie połączyć w celu rozwiązania większego problemu 
 
 Ogólny problem ładowania 3 telefonów 2 ładowarkani możemy zdekomponować na cztery prostsze podproblemy ładowanie dwóch telefonów przez 2 godziny za pomocą dwóch ładowarek ładowanie jednego telefonu przez 2 godziny za pomocą jednej ładowarki ładowanie jednego telefonu przez 1 godzinę za pomocą jednej ładowarki i przełączanie jednego telefonu z jednej ładowarki na drugą
 
 Teraz korzystając z tych podproblemów i łącząc wydrębnione warianty w nowy sposób możemy zobaczyć że możemy zacząć od ładowania pierwszego telefonu przez 2 godziny pierwszą z ładowarek W tym samym czasie możemy rozpocząć ładowanie drugiego telefonu drugą ładowarką ale odłączyć go po 1 godzinie i podłączyć do drugiej ładowarki trzeci telefon na 2 godziny Po całkowitym naładowaniu pierwszego telefonu za pomocą pierwszej ładowarki możemy z kolei podłączyć do tej ładowarki drugi telefon na 1 godzinę W ten sposób pełne naładowanie wszystkich trzech telefonów przy użyciu dwóch ładowarek zajmie łącznie 3 godziny
 
 Jest to najkrótszy możliwy czas ponieważ używamy dwóch ładowarek jednocześnie i optymalizujemy czas ładowania dla każdego telefonu Gdybyśmy mieli ładować wszystkie trzy telefony przez 2 godziny przy użyciu jednej ładowarki pełne naładowanie wszystkich trzech telefonów zajęłoby łącznie 6 godzin Dlatego rozwiązanie polegające na ładowaniu jednego telefonu przez 1 godzinę a następnie przełączeniu go na drugą ładowarkę podczas ładowania pozostałych dwóch telefonów przez 2 godziny jest najbardziej efektywnym podejściem co jest korzyścią z zastosowania myślenia komputacyjnego",3,4,6,2,3
Pisząc program do robienia zakupów w Internecie należy wybrać odpowiednią kolejność zadań które będzie on wykonywał,"Model myślenia obliczeniowego polega na podzieleniu problemu na mniejsze bardziej zarządzalne części i zaprojektowaniu rozwiązań wykorzystujących algorytmy i struktury danych Stosując ten model do procesu pisania programu do robienia zakupów online można przedstawić następujące uzasadnienie dla kolejności zadań
 
 Krok 1 - Wyszukiwanie przedmiotu Pierwszym krokiem w każdym programie do zakupów online jest umożliwienie użytkownikowi wyszukiwania przedmiotów które chce kupić Polega to na udostępnieniu pola wyszukiwania lub listy kategorii do przeglądania a następnie zastosowaniu algorytmów do przeszukiwania bazy produktów w celu znalezienia tych które odpowiadają kryteriom wyszukiwania użytkownika
 
 Krok 2 - Dodanie przedmiotu do koszyka Gdy użytkownik znajdzie już przedmiot który chce kupić kolejnym krokiem jest dodanie go do koszyka Wymaga to utworzenia struktury danych która może przechowywać szczegóły przedmiotu takie jak jego nazwa cena i ilość a następnie dodania go do koszyka użytkownika Koszyk może również śledzić całkowity koszt użytkownika i wyświetlać go dla niego Nie można dodać przedmiotu do koszyka nie wiedząc czy produkt znajduje się w bazie danych (krok 1) 
 
 Krok 3 - Wprowadzenie adres dostawy Po tym jak użytkownik dodał do koszyka wszystkie przedmioty które chce kupić kolejnym krokiem jest wprowadzenie adresu dostawy Wiąże się to z udostępnieniem formularza w którym użytkownik może wprowadzić swoje imię i nazwisko adres numer telefonu i inne istotne szczegóły Informacje te mogą być przechowywane w bazie danych lub wysyłane do usługi zewnętrznej w celu weryfikacji Konieczna jest znajomość liczby i rozmiaru / wagi wszystkich zakupionych przedmiotów (krok 2) aby ocenić właściwą formę i cenę dostawy 
 
 Krok 4 - Zapłata za przedmiot Ostatecznie po wprowadzeniu przez użytkownika adresu dostawy ostatnim krokiem jest umożliwienie mu zapłaty za przedmiot Wiąże się to z integracją z bramką płatniczą taką jak np PayPal lub Przelewy24 w celu przetworzenia płatności użytkownika Program powinien również zapewnić stronę potwierdzającą która pokazuje użytkownikowi szczegóły zamówienia adres dostawy i całkowity koszt Konieczne jest poznanie wszystkich zamówionych przedmiotów i odległości dostawy aby poznać Aby obliczyć cenę całkowitą musisz znać wszystkie wybrane przedmioty formularz i odległość dostawy (kroki 1 - 3) zanim poprosisz o płatność
 
 Ogólnie rzecz biorąc przestrzeganie tej sekwencji zadań w programie zapewnia że użytkownik może wyszukiwać wybierać i kupować żądane przedmioty w sposób płynny i logiczny a jednocześnie zapewnia niezbędne struktury danych i algorytmy dzięki którym program działa sprawnie",zapłać za przedmiot wpisz adres dostawy wyszukaj przedmiot dodaj przedmiot do koszyka,dodaj artykuł do koszyka zapłać za artykuł wyszukaj artykuł wpisz adres dostawy,wpisz adres dostawy dodaj artykuł do koszyka zapłać za artykuł wyszukaj artykuł,wyszukaj przedmiot dodaj przedmiot do koszyka podaj adres dostawy zapłać za przedmiot,1
Żeby narysować zielony pole 150px x 150px program musi przejść następujące kroki w podanej kolejności,"Uzasadnienie podanej sekwencji kroków do narysowania zielonego kwadratu o wymiarach 150px x 150px opiera się na zasadach myślenia komputacyjnego 
 
 Myślenie komputacyjne jest podejściem do rozwiązywania problemów które polega na rozbiciu złożonego problemu na mniejsze bardziej wykonalne części a następnie systematycznym analizowaniu i rozwiązywaniu każdej z nich Obejmuje ono szereg kroków takich jak dekompozycja problemu rozpoznawanie wzorców abstrakcja projektowanie algorytmów i ocena 
 
 W tym przypadku problemem jest narysowanie zielonego kwadratu o wymiarach 150px x 150px Aby rozwiązać ten problem za pomocą myślenia komputacyjnego możemy podzielić go na mniejsze kroki i zaprojektować algorytm który wykona te kroki w określonej kolejności 
 
 Podana kolejność kroków wynika z następującego rozumowania
 
 a) Przejdź do miejsca startu Ten krok zapewnia że program rozpoczyna rysowanie kwadratu od żądanej pozycji na płótnie Bez tego kroku pole może zostać narysowany w niezamierzonym miejscu na płótnie
 
 b) Ustaw kolor pióra na zielony Ten krok ustawia kolor pióra na zielony który będzie używany do rysowania kwadratu Bez tego kroku pióro może używać innego koloru co nie spowoduje narysowania zielonego kwadratu
 
 c) Przesuń o 150px Ten krok przesuwa pióro o 150px w linii prostej która utworzy jeden bok kwadratu Ten krok jest powtarzany w sumie trzy razy aby narysować wszystkie cztery boki kwadratu
 
 d) Obróć zgodnie z ruchem wskazówek zegara o 90 stopni Ten krok obraca pióro o 90 stopni zgodnie z ruchem wskazówek zegara co ukierunkuje pióro na rysowanie kolejnego boku kwadratu pod kątem prostym do poprzedniego boku Bez tego kroku pióro rysowałoby następny bok w tym samym kierunku co poprzedni co skutkowałoby prostokątem zamiast kwadratu
 
 e) Powtórz powyższe dwa kroki 3 razy Ten krok powtarza poprzednie dwa kroki (przesuń o 150px i obróć o 90 stopni) trzy razy aby narysować wszystkie cztery boki kwadratu Bez tego kroku program narysowałby tylko jeden bok kwadratu pozostawiając go niekompletnym
 
 Podana sekwencja kroków jest niezbędna do narysowania zielonego kwadratu o wymiarach 150px x 150px w zamierzonym miejscu i orientacji",przejdź do miejsca startu ustaw kolor pisaka na zielony przesuń o 150 px obróć w prawo o 90 stopni powtórz dwie powyższe czynności 3 razy,przejdź do miejsca startu obróć się w prawo o 90 stopni ustaw kolor pisaka na zielony przesuń o 150 px powtórz dwie powyższe czynności 3 razy,ustaw kolor pisaka na zielony przesuń 150 px obróć w prawo o 90 stopni przejdź do miejsca startu powtórz dwa powyższe kroki 3 razy,przejdź do miejsca startu ustaw kolor pisaka na zielonypowtórz dwa powyższe kroki 3 razy przesuń o 150 px obrót w prawo o 90 stopni,2
Jaki jest błąd w poniższym programie który powinien narysować raz pole o wymiarach 100px x 100px zaczynając od lewego górnego rogu w prawo powtórz 4 razy blok w nawiasie [przesuń 100px] obróć się w prawo o 90 stopni,"Błąd w programie polega na tym że narysuje on cztery razy boki kwadratu ale jako jedną prostą linię i nie uzupełni kwadratu poprzez połączenie ostatniego boku z pierwszym Zamiast tego program zakończy się obróceniem pióra o 90 stopni w prawo po narysowaniu czwartego boku ale bez przesuwania pióra do punktu początkowego kwadratu Dlatego ostateczny rysunek będzie miał kształt litery ""I"" zamiast kwadratu Błąd wynika z faktu że polecenie obrotu o 90 stopni w prawo znajduje się poza pętlą 
 
 Aby poprawić program polecenie obrotu o 90 stopni zgodnie z ruchem wskazówek zegara powinno znaleźć się wewnątrz pętli co spowoduje że pióro znajdzie się w punkcie początkowym kwadratu Konkretnie program powinien zostać zmodyfikowany tak aby ustawić blok w nawiasie jako [przesuń 100px obróć w prawo o 90 stopni] przed ponownym powtórzeniem bloku W ten sposób po narysowaniu każdego boku kwadratu pióro obróci się w prawo i w końcu przejdzie do punktu początkowego kwadratu a rysunek będzie kompletnym kwadratem Poprawiony program miałby taką postać
 
 powtórz 4 razy [przesuń 100px obróć w prawo o 90 stopni]
 
 Korekta błędu programu jest przykładem zastosowania zasad myślenia komputacyjnego do zadania programistycznego W szczególności korekta polega na zastosowaniu myślenia algorytmicznego i debugowania w celu zidentyfikowania i rozwiązania błędu logicznego w programie
 
 Proces myślenia algorytmicznego polega na rozbiciu programu na sekwencję kroków i przeanalizowaniu jakie rezultaty dają te kroki W ten sposób staje się jasne że oryginalny program narysuje cztery boki kwadratu jako pojedynczą prostą linię i nie dokończy kwadratu poprzez połączenie ostatniego boku z pierwszym
 
 Proces debugowania polega na zidentyfikowaniu błędu w logice programu a następnie zmodyfikowaniu programu w celu poprawienia błędu W tym przypadku błąd został zidentyfikowany jako nieumieszczenie wewnątrz pętli polecenia obrotu w prawo o 90 stopni tak aby pióro wróciło do punktu początkowego kwadratu Poprawiony program został zmodyfikowany poprzez przeniesienie polecenia obrotu w prawo o 90 stopni do wewnątrz pętli w celu ukończenia kwadratu
 
 Ogólnie rzecz biorąc ta korekta pokazuje znaczenie myślenia algorytmicznego i debugowania w zadaniach programistycznych Stosując te zasady myślenia komputacyjnego programiści mogą zidentyfikować i poprawić błędy w swoich programach aby uzyskać pożądane rezultaty wyjściowe","pętla ""repeat"" powinna powtórzyć się 2 razy","blok ""obróć w prawo"" powinien znajdować się wewnątrz pętli za blokiem ""przesuń""","blok ""move"" powinien znajdować się poza pętlą","blok ""obróć w prawo"" powinien znajdować się wewnątrz pętli przed blokiem ""przenieś""",3
